"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CORO7",-11.0082875633941,483.400550401734,-1.42979891685721,0.153225167864531,0.390904417142458,-5.12818325231301
"STEAP3",238.351891125189,6089.68151527062,1.42979535045976,0.153226191413545,0.390904417142458,-5.12818809205977
"HOOK2",29.2118897974296,1148.99437849143,1.42970031873708,0.153253467249573,0.390904417142458,-5.12831704956178
"SPTLC2",-135.314196268548,7426.84678460145,-1.42967930520256,0.153259499016474,0.390904417142458,-5.12834556365739
"OR7G2",-0.0348311056288266,0.055056469079149,-1.42964794291451,0.153268501646801,0.390904417142458,-5.12838811961095
"IFI27",-788.029455471102,12859.7874679589,-1.42958271755346,0.153287226055395,0.390912646852825,-5.12847662189912
"SPIN2A",-0.174026986289315,1.74654259753229,-1.429298940968,0.153368710808099,0.391080909970024,-5.12886162291848
"MITF",-13.8255546208842,378.056224851834,-1.42904513334707,0.153441618114082,0.391227269312605,-5.12920590055276
"ZKSCAN7",-2.81755068171498,102.523686374882,-1.42898220091763,0.153459699804677,0.391233825335877,-5.12929125591669
"TOMM20",-85.8710084960576,5934.56941066136,-1.42848662707823,0.153602144389793,0.391533536987836,-5.12996327304028
"LINC01021",-0.03723129992379,0.0928456032681625,-1.42843644390857,0.153616574335778,0.391533536987836,-5.13003131042502
"LIPJ",-0.366739014095764,5.24019756000841,-1.42838273173688,0.153632020174895,0.391533536987836,-5.13010412973145
"MYH4",-0.0900747219801966,0.222934603986207,-1.42835724616626,0.153639349393657,0.391533536987836,-5.13013868038144
"SYNM",-13.2349202105847,303.851059996941,-1.42826554633462,0.153665722917027,0.391561187479452,-5.13026299227824
"CAV1",8.47469225794853,118.791754737205,1.4280726116359,0.153721223571031,0.391663044783403,-5.13052451624015
"DRAP1",42.0381616298639,1538.79859349969,1.42771022621931,0.153825510629259,0.391889170802185,-5.13101563659626
"PCSK4",-13.1756129680512,317.477862913509,-1.42754038415251,0.153874406223772,0.391925984294235,-5.13124577126128
"OR2J3",-0.0722402816806479,0.0663075790754017,-1.42750911208,0.153883410387428,0.391925984294235,-5.13128814170742
"GUCA1B",-2.38058208315991,56.6354261114948,-1.42749812416061,0.153886574232878,0.391925984294235,-5.13130302899048
"ASL",-38.7860656367257,1941.20191481984,-1.42738246458367,0.15391988008841,0.391938044467044,-5.13145972662307
"KTN1-AS1",-0.778645852184063,19.3720984631542,-1.42737376264685,0.153922386159631,0.391938044467044,-5.13147151564996
"ZMIZ1",74.5592211188582,3120.07301836867,1.42723932194576,0.153961107693489,0.391976994937444,-5.13165364131859
"C3P1",-0.0148798969957864,0.0124258991010561,-1.42721274752416,0.153968762521416,0.391976994937444,-5.13168963944222
"MIR3935",-0.0124701122757316,0.00623453905138535,-1.42706909676514,0.154010146497379,0.39203920495166,-5.13188421945537
"GPX1",139.465281311185,6348.46105794206,1.42702003239889,0.154024283264786,0.39203920495166,-5.13195067440807
"LOC642426",0.0142525319151668,0.0110009620143438,1.42696270150658,0.154040803093507,0.392041692788882,-5.13202832303332
"SLC35G4",-0.0124707174368932,0.00824931933160019,-1.42685202182609,0.154072699129868,0.39208330940797,-5.13217821817468
"LINC01054",-0.0252892435393953,0.0358156897207676,-1.42663511115318,0.154135223754025,0.392202853220169,-5.13247195001857
"FBF1",-13.5768084092089,474.138287961918,-1.42653747062398,0.154163374998202,0.392221986064696,-5.13260415647114
"PPL",301.871944832479,11117.342229655,1.42650116988946,0.154173842048504,0.392221986064696,-5.13265330580963
"MARCH7",-46.1017666396397,3092.87299986205,-1.42624830422539,0.154246769023115,0.392367940887358,-5.13299563850287
"NUDCD3",26.0062357245265,2480.61125627126,1.42610671044615,0.154287616430359,0.392432271537701,-5.13318730358606
"MIR548AY",-0.0300835156524373,0.060141526951492,-1.42585307507596,0.154360806531601,0.392578844923684,-5.13353058384863
"NCAM1-AS1",0.0812341972770083,0.283769995283977,1.42576119333514,0.154387326839858,0.392587595259418,-5.1336549253011
"SURF1",33.183337592566,1482.02656421716,1.42573331139367,0.154395375236815,0.392587595259418,-5.13369265571805
"RAP1GDS1",-13.45784228378,848.121721752249,-1.42556374399292,0.154444329416477,0.392672489184681,-5.13392210202257
"AMBRA1",18.1427731089702,1413.26518388377,1.42543936543254,0.154480245072092,0.392722780323254,-5.13409038482274
"FRMD8P1",1.31045979231724,45.9404286596037,1.42538741384147,0.154495248538996,0.392722780323254,-5.13416067042341
"LRRC3C",-0.268534266129627,2.67162138496509,-1.42506438713967,0.154588562598247,0.392920385225532,-5.13459763793978
"SNX33",28.7570169662868,1618.12358949435,1.42492772753298,0.154628052937703,0.392980863901113,-5.13478247169313
"IFNLR1",-11.9919666114384,410.302083489319,-1.42479821068049,0.154665486332982,0.392980863901113,-5.13495762852585
"LOC101929754",-0.148435787454213,1.13168729452797,-1.42477224144889,0.154672992877655,0.392980863901113,-5.13499274705752
"MIR676",-0.0200680250836097,0.0281256953557129,-1.42476557369057,0.154674920273446,0.392980863901113,-5.13500176385172
"FRMD5",0.972609256158222,12.0332265000553,1.42471252523213,0.154690255220193,0.392980863901113,-5.13507349966545
"TERF2IP",20.3013458769301,2165.90220602806,1.42446992951912,0.154760398158211,0.393119464566234,-5.13540152062688
"SPATA6L",-25.7322203505315,612.552065428994,-1.42428810937046,0.15481298461701,0.393213445169617,-5.13564732872261
"DHCR7",61.7131821766668,1826.69751051285,1.4240535245273,0.154880851899628,0.393346215094263,-5.13596442491342
"ANO2",3.94034681981353,40.7560788402232,1.42390824423321,0.154922894010725,0.393407833112114,-5.13616077912403
"ELMO1-AS1",0.0311368869722186,0.0466515321468998,1.42381466591117,0.15494997888379,0.393407833112114,-5.13628724476772
"IRAK3",-301.85554616241,5095.40248212395,-1.42380801572252,0.154951903820522,0.393407833112114,-5.13629623179539
"RRS1-AS1",-1.61924508618927,36.3611278297636,-1.42362686585824,0.155004345728402,0.393477053207732,-5.13654102066057
"MRPL54",29.9785655839155,1258.01413320752,1.42360361643899,0.155011077287677,0.393477053207732,-5.13657243549449
"HBD",0.203981089125824,0.323218087235884,1.42355219821118,0.1550259655399,0.393477053207732,-5.13664191047682
"SLC38A1",94.5564235760276,3448.14846474635,1.42347062687102,0.155049586919556,0.39349238721434,-5.13675212244958
"JAKMIP1",-2.86847637128241,24.7427378194332,-1.42337584107693,0.155077038373229,0.39349238721434,-5.13688018073802
"IFNL1",-2.36611130787932,4.54092026518291,-1.42336973559473,0.155078806743488,0.39349238721434,-5.13688842912662
"SF3B1",-102.923914548935,9725.62110397096,-1.42319909294686,0.155128237284253,0.393561083999676,-5.1371189498234
"RNU5A-1",-0.160801255415065,0.535325432338847,-1.42316854990988,0.155137086037455,0.393561083999676,-5.13716020743216
"TGM4",0.0579315161753536,0.186673939755866,1.42293286064193,0.155205381495885,0.393657035897036,-5.13747854747259
"SNRNP27",-13.477631067214,716.770793361169,-1.42291067802456,0.155211810509841,0.393657035897036,-5.13750850632248
"EIF6",87.1557255389625,3563.57893062058,1.42287645853247,0.155221728474148,0.393657035897036,-5.13755472072618
"FAN1",-19.0678656118008,902.408211510238,-1.42274328058519,0.155260332530697,0.393712057106695,-5.13773457084109
"CPSF7",-30.3300044156645,2893.68465257489,-1.42269392507406,0.155274640980709,0.393712057106695,-5.13780121872546
"TDRG1",0.223324346802619,1.58792588158248,1.42254714849569,0.155317198293558,0.39375281734656,-5.13799940689208
"ACTN1",85.782232397085,4208.071814337,1.42253080785053,0.155321936750645,0.39375281734656,-5.1380214699352
"TRMT10A",-11.0288292897268,454.39273205985,-1.42235439885924,0.155373098798616,0.393827589354086,-5.13825964028074
"CLIC4",-63.584139561422,1544.36036216201,-1.42232144268512,0.155382658153024,0.393827589354086,-5.13830413126278
"CHRNA6",-0.252935088416114,2.60264193946518,-1.42209266702364,0.155449029756534,0.393886804490196,-5.13861295118299
"CLNS1A",-33.5858747113894,2474.51370452527,-1.42207048287928,0.155455466890659,0.393886804490196,-5.13864289451211
"ARFGAP1",-39.6708747869907,2079.31231716861,-1.42203113831583,0.155466883932127,0.393886804490196,-5.13869599919196
"KCNE2",0.0933930911855403,0.50437787461884,1.4220132497109,0.155472075074827,0.393886804490196,-5.13872014356039
"EPOR",3.02312238626651,88.1859927629529,1.42197181729686,0.155484098965623,0.393886804490196,-5.13877606400458
"C11orf96",-1.6725159796591,11.1114701469927,-1.4218912005498,0.155507496370255,0.393903373399987,-5.13888486606489
"QPCT",-12.9867342908061,209.102619456196,-1.42184167378245,0.155521871855791,0.393903373399987,-5.13895170539337
"DTNBP1",8.97137927905521,536.475780841742,1.42155244019389,0.155605844088604,0.394076487077405,-5.13934199716834
"CD1E",-7.02947662124224,99.1920652285768,-1.42131503546744,0.155674794786216,0.39421152732532,-5.13966229210973
"SHC2",9.97712649805251,137.939287868151,1.42091466025038,0.155791130494734,0.394466520337199,-5.1402023384876
"MIR4434",-0.0597114865645058,0.202091705919772,-1.42066895969599,0.155862555625648,0.394545813948567,-5.14053367696831
"KCNK1",63.02588167319,1950.41324286742,1.42066394409805,0.155864013918871,0.394545813948567,-5.14054044013935
"MIR4530",0.0635179227758507,0.266188526852433,1.42064551647926,0.155869371867962,0.394545813948567,-5.1405652882465
"ROR2",3.14202926193162,59.2089260466288,1.4205301059724,0.155902931403269,0.394591164129646,-5.14072090240463
"DCAF13P3",-0.926811874531033,38.0813936928958,-1.42035316985248,0.155954392274595,0.394681809043281,-5.14095945043828
"TMEM54",46.0313058747483,1921.76485496409,1.4201113629249,0.156024741340651,0.394820232301022,-5.14128541054494
"ASB16-AS1",-4.80210009857086,229.934533862105,-1.41997667894339,0.156063935510936,0.394879798307538,-5.14146694306701
"ALKBH1",-5.43720256766443,399.231306808892,-1.41991045726023,0.156083209322193,0.39488895405647,-5.14155619305671
"SBF2-AS1",4.51562759344591,187.815329452415,1.41940878859632,0.156229278704821,0.395218867320268,-5.14223218046719
"CKS1B",6.14036218970261,185.000744077675,1.41916482826279,0.15630034945959,0.395359006695619,-5.14256082580935
"PCDHB1",-4.11259568739716,56.7329716949777,-1.41891364302399,0.156373550657543,0.395460183417994,-5.14289914534406
"B3GNT7",168.429593950706,6651.87002127179,1.41885235781254,0.156391414542013,0.395460183417994,-5.14298168090783
"GLCE",52.1210561180681,2001.56655479854,1.41883539580798,0.156396359031539,0.395460183417994,-5.14300452377986
"LOC101929694",-0.583478878050241,6.66063041084598,-1.41881240828673,0.156403060171976,0.395460183417994,-5.14303548083199
"MIR4518",-0.0858048343475556,0.413283868760007,-1.41870203943283,0.156435237067045,0.395501896339494,-5.14318410645915
"SNORD104",-0.770521412357402,12.2566339251097,-1.41852813576196,0.156485947088914,0.395590451931326,-5.14341826643797
